fit_score,tier,company,phone,email,website,address,city,state,notes,vertical,market
87.0,prime,Lara Auto Service 2,+1-773-585-9040,,http://laraautoservice2.com,4817 South Knox Avenue,Chicago,IL,Phone listed · Street address · Website listed · Founded 2004 (~22y),Auto,"Chicago, IL"
80.0,prime,Grand Auto Center,+1-312-226-1500,,https://www.napaonline.com/en/autocare/?facilityId=576008,1401 West Grand Avenue,Chicago,IL,Phone listed · Street address · Hours listed · Website listed,Auto,"Chicago, IL"
80.0,prime,Gateway Auto Service,+1-773-342-7105,,https://gatewayautochicago.net/,2057 West Division Street,Chicago,IL,Phone listed · Street address · Hours listed · Website listed,Auto,"Chicago, IL"
75.0,solid,Rojas Auto Service,+1-773-247-9318,,https://www.rojasautoservice.com/,1850 West 33rd Street,Chicago,IL,Phone listed · Street address · Website listed,Auto,"Chicago, IL"
75.0,solid,Erie LaSalle Body Shop,+1-312-337-3903,,https://erielasalle.com,1005 West Huron Street,Chicago,IL,Phone listed · Street address · Website listed,Auto,"Chicago, IL"
70.0,solid,Hawk Motors,+1 773-248-1200,,,4080 North Broadway,Chicago,IL,Phone listed · Street address,Auto,"Chicago, IL"
70.0,solid,I & C Auto Repair,+1 773-549-8254,,,3454 North Sheffield Avenue,Chicago,IL,Phone listed · Street address,Auto,"Chicago, IL"
70.0,solid,JC Garage,+1 872 342 3850,,,2523-2527 South Archer Avenue,Chicago,IL,Phone listed · Street address,Auto,"Chicago, IL"
63.0,solid,Fulton-Desplaines Garage,,,https://www.fultondesplainesgarage.com,225 North Desplaines Street,Chicago,IL,Street address · Website listed,Auto,"Chicago, IL"
58.0,solid,Nortown,,,,1301 West North Avenue,Chicago,IL,"Street address · No contact details in OSM, enrich first",Auto,"Chicago, IL"
58.0,solid,Chicago Auto Repair Service Inc.,,,,1710 West Chicago Avenue,Chicago,IL,"Street address · No contact details in OSM, enrich first",Auto,"Chicago, IL"
58.0,solid,Tony's Auto Center,,,,2701 South Halsted Street,Chicago,IL,"Street address · No contact details in OSM, enrich first",Auto,"Chicago, IL"
58.0,solid,Ogden Automotive,,,,1343 West Hubbard Street,Chicago,IL,"Street address · No contact details in OSM, enrich first",Auto,"Chicago, IL"
55.0,watch,Grandpa's Garage Auto Repair,,,,,Chicago,IL,"Hours listed · No contact details in OSM, enrich first",Auto,"Chicago, IL"
50.0,watch,Milito's Auto Repair,,,,,Chicago,IL,"No contact details in OSM, enrich first",Auto,"Chicago, IL"
50.0,watch,Cermak Auto Center,,,,,Chicago,IL,"No contact details in OSM, enrich first",Auto,"Chicago, IL"
50.0,watch,AUTOHaus,,,,,Chicago,IL,"No contact details in OSM, enrich first",Auto,"Chicago, IL"
50.0,watch,Nunez Auto Repair Shop,,,,,Chicago,IL,"No contact details in OSM, enrich first",Auto,"Chicago, IL"
50.0,watch,Ramirez Auto Parts & Repair,,,,,Chicago,IL,"No contact details in OSM, enrich first",Auto,"Chicago, IL"
50.0,watch,King Auto Repair & Body Shop,,,,,Chicago,IL,"No contact details in OSM, enrich first",Auto,"Chicago, IL"
50.0,watch,Ashland Tire & Auto Clinic,,,,,Chicago,IL,"No contact details in OSM, enrich first",Auto,"Chicago, IL"
50.0,watch,Tiger's Body Shop,,,,,Chicago,IL,"No contact details in OSM, enrich first",Auto,"Chicago, IL"
50.0,watch,Reliable Auto Repair Center,,,,,Chicago,IL,"No contact details in OSM, enrich first",Auto,"Chicago, IL"
50.0,watch,Damen Auto Repair,,,,,Chicago,IL,"No contact details in OSM, enrich first",Auto,"Chicago, IL"
50.0,watch,Logan Square Auto Repair,,,,,Chicago,IL,"No contact details in OSM, enrich first",Auto,"Chicago, IL"
50.0,watch,Fasttrack Auto Center,,,,,Chicago,IL,"No contact details in OSM, enrich first",Auto,"Chicago, IL"
50.0,watch,Four Star Auto Mania,,,,,Chicago,IL,"No contact details in OSM, enrich first",Auto,"Chicago, IL"
50.0,watch,Portage Auto Parts,,,,,Chicago,IL,"No contact details in OSM, enrich first",Auto,"Chicago, IL"
50.0,watch,M&R Auto Body,,,,,Chicago,IL,"No contact details in OSM, enrich first",Auto,"Chicago, IL"
50.0,watch,Snowman Auto,,,,,Chicago,IL,"No contact details in OSM, enrich first",Auto,"Chicago, IL"
50.0,watch,Casa Caidas,,,,,Chicago,IL,"No contact details in OSM, enrich first",Auto,"Chicago, IL"
0.0,reject,Midas,,,,510 West Roosevelt Road,Chicago,IL,Chain or franchise (Midas),Auto,"Chicago, IL"
0.0,reject,Crash Champions,,,https://crashchampions.com/locations/crash-champions-milwaukee-ave,3545 North Milwaukee Avenue,Chicago,IL,Chain or franchise (Crash Champions),Auto,"Chicago, IL"
0.0,reject,Caliber Collision,,,,318 South Morgan Street,Chicago,IL,Chain or franchise (Caliber Collision),Auto,"Chicago, IL"
0.0,reject,Gerber Collision & Glass,,,,3029 North Kedzie Avenue,Chicago,IL,Chain or franchise (Gerber Collision & Glass),Auto,"Chicago, IL"
0.0,reject,Goodyear,,,,1301 West North Avenue,Chicago,IL,Chain or franchise (Goodyear),Auto,"Chicago, IL"
0.0,reject,Rivian Service Center,,,,2033 West Walnut Street,Chicago,IL,Chain or franchise (Rivian),Auto,"Chicago, IL"
0.0,reject,Car-X,,,https://www.carx.com/chicago/5418-s-pulaski-rd/,5418 South Pulaski Road,Chicago,IL,Chain or franchise (Car-X),Auto,"Chicago, IL"
